timestamp,port,len,term,string,hex
2026-05-28T09:44:20.475,0,3,"\n","TIC","54 49 43"
2026-05-28T09:44:22.480,0,3,"\n","TIC","54 49 43"
2026-05-28T09:44:24.486,0,3,"\n","TIC","54 49 43"
2026-05-28T09:44:26.491,0,3,"\n","TIC","54 49 43"
2026-05-28T09:44:28.496,0,3,"\n","TIC","54 49 43"
2026-05-28T09:44:29.314,0,18,"\n","|--- DevKit 4 ---|","7c 2d 2d 2d 20 44 65 76 4b 69 74 20 34 20 2d 2d 2d 7c"
2026-05-28T09:44:29.319,0,18,"\n","Main Task started.","4d 61 69 6e 20 54 61 73 6b 20 73 74 61 72 74 65 64 2e"
2026-05-28T09:44:29.908,2,10,"\r\n","+EVENT=0,0","2b 45 56 45 4e 54 3d 30 2c 30"
2026-05-28T09:44:29.923,0,16,"\n","LoRa evt=BOOT_OK","4c 6f 52 61 20 65 76 74 3d 42 4f 4f 54 5f 4f 4b"
2026-05-28T09:44:29.949,1,11,"\r","AT+DFORMAT?","41 54 2b 44 46 4f 52 4d 41 54 3f"
2026-05-28T09:44:29.965,2,5,"\r\n","+OK=1","2b 4f 4b 3d 31"
2026-05-28T09:44:29.999,1,8,"\r","AT+BAND?","41 54 2b 42 41 4e 44 3f"
2026-05-28T09:44:30.011,2,5,"\r\n","+OK=5","2b 4f 4b 3d 35"
2026-05-28T09:44:30.045,1,10,"\r","AT+DEVEUI?","41 54 2b 44 45 56 45 55 49 3f"
2026-05-28T09:44:30.060,2,20,"\r\n","+OK=5026EF0000BCDD07","2b 4f 4b 3d 35 30 32 36 45 46 30 30 30 30 42 43 44 44 30 37"
2026-05-28T09:44:30.086,0,38,"\r\n","I (130) LoRa: DevEUI: 5026EF0000BCDD07","49 20 28 31 33 30 29 20 4c 6f 52 61 3a 20 44 65 76 45 55 49 3a 20 35 30 32 36 45 46 30 30 30 30 42 43 44 44 30 37"
2026-05-28T09:44:30.114,1,10,"\r","AT+APPEUI?","41 54 2b 41 50 50 45 55 49 3f"
2026-05-28T09:44:30.129,2,20,"\r\n","+OK=745BC53000002D09","2b 4f 4b 3d 37 34 35 42 43 35 33 30 30 30 30 30 32 44 30 39"
2026-05-28T09:44:30.179,1,12,"\r","AT+JOINMODE?","41 54 2b 4a 4f 49 4e 4d 4f 44 45 3f"
2026-05-28T09:44:30.196,2,5,"\r\n","+OK=1","2b 4f 4b 3d 31"
2026-05-28T09:44:30.230,1,9,"\r","AT+CLASS?","41 54 2b 43 4c 41 53 53 3f"
2026-05-28T09:44:30.244,2,5,"\r\n","+OK=0","2b 4f 4b 3d 30"
2026-05-28T09:44:30.277,1,7,"\r","AT+ADR?","41 54 2b 41 44 52 3f"
2026-05-28T09:44:30.288,2,5,"\r\n","+OK=1","2b 4f 4b 3d 31"
2026-05-28T09:44:30.322,1,7,"\r","AT+NWK?","41 54 2b 4e 57 4b 3f"
2026-05-28T09:44:30.333,2,5,"\r\n","+OK=1","2b 4f 4b 3d 31"
2026-05-28T09:44:30.367,1,10,"\r","AT+CTXRTY?","41 54 2b 43 54 58 52 54 59 3f"
2026-05-28T09:44:30.382,2,5,"\r\n","+OK=1","2b 4f 4b 3d 31"
2026-05-28T09:44:30.416,1,14,"\r","AT+JOINSTATUS?","41 54 2b 4a 4f 49 4e 53 54 41 54 55 53 3f"
2026-05-28T09:44:30.436,2,5,"\r\n","+OK=1","2b 4f 4b 3d 31"
2026-05-28T09:44:30.446,0,14,"\n","LoRa evt=READY","4c 6f 52 61 20 65 76 74 3d 52 45 41 44 59"
2026-05-28T09:44:30.447,0,20,"\n","LoRa READY, joined=1","4c 6f 52 61 20 52 45 41 44 59 2c 20 6a 6f 69 6e 65 64 3d 31"
2026-05-28T09:44:33.364,0,3,"\n","TIC","54 49 43"
2026-05-28T09:44:35.372,0,3,"\n","TIC","54 49 43"
2026-05-28T09:44:37.380,0,3,"\n","TIC","54 49 43"
